,app,price,id,vendor_list
0,Archer Control Standards,Free,420245,"Archer Technologies, LLC"
1,Shared Assessments SIG Template Questionnaire,Unknown,421581,Shared Assessments
2,Archer ZIP Management,Unknown,421606,"Archer Technologies, LLC"
3,Archer ESG Score Connect,Unknown,421617,"Archer Technologies, LLC"
4,Archer NIST-Aligned AI Risk Management Framework,Unknown,421623,"Archer Technologies, LLC"
5,RiskRecon Own Enterprise Monitoring,Unknown,420322,RiskRecon by Mastercard
6,RiskRecon Third Party Security Risk Monitoring,Unknown,420326,RiskRecon by Mastercard
7,CastleHill Software Estrelica.Core .NET Integration Library,Free,420352,CastleHill Software
8,Compliance.ai Service Connector,Free,420667,Compliance.ai
9,Microsoft 365 OneDrive and SharePoint,Free,420722,"Archer Technologies, LLC"
10,Archer Policy Library,Free,421016,"Archer Technologies, LLC"
11,ISO/IEC 27001 Standard Authoritative Source,Unknown,421168,"Archer Technologies, LLC"
12,ISO/IEC 27002 Standard Authoritative Source,Unknown,421170,"Archer Technologies, LLC"
13,Wolters Kluwer Regulatory Data Feed,Unknown,421563,"Archer Technologies, LLC"
14,Archer Individual Accountability Management,Unknown,421607,"Archer Technologies, LLC"
15,NIST AI Risk Management Framework Authoritative Source,Free,421614,"Archer Technologies, LLC"
16,Archer Australian Incident Management,Free,421616,"Archer Technologies, LLC"
17,PCI DSS 4.0 Authoritative Source,Free,421625,"Archer Technologies, LLC"
18,Archer Enhanced User Experience,Free,421626,"Archer Technologies, LLC"
19,Archer Questionnaire Assistant,Free,422963,"Archer Technologies, LLC"
20,Archer Third Party Pandemic Preparedness Assessment,Free,420290,"Archer Technologies, LLC"
21,Archer Conflict of Interest Management,Unknown,420304,"Archer Technologies, LLC"
22,CMMC Framework Authoritative Source,Free,420308,"Archer Technologies, LLC"
23,CMMC Assessment Objective and Controls,Free,420310,"Archer Technologies, LLC"
24,Black Kite Vendor Cyber Risk,Free,420312,Black Kite
25,AWS IAM Access Analyzer,Unknown,420314,Amazon
26,BitSight Security Ratings Integration,Unknown,420316,BitSight
27,AWS Security Hub,Unknown,420318,Amazon
28,Konexus,Free,420320,Konexus
29,RiskRecon Own Enterprise Monitoring Free Limited,Free,420324,RiskRecon by Mastercard
30,RiskRecon Third Party Security Risk Monitoring Free Limited,Free,420328,RiskRecon by Mastercard
31,Crowe Pandemic Response,Unknown,420330,Crowe LLP
32,Tutela Solutions / Archer Scripts Group Management,Unknown,420332,"Tutela Solutions, Archer Scripts"
33,Tutela Solutions Records Retention,Unknown,420334,Tutela Solutions
34,Tutela Solutions Re*Porter,Free,420336,Tutela Solutions
35,Tutela Solutions eDiscovery Management,Unknown,420338,Tutela Solutions
36,HCL Regulatory Interactions Management,Unknown,420340,HCL
37,HCL IRAM2-Aligned Risk Assessment,Unknown,420342,HCL
38,HCL Tax Risk Management,Unknown,420344,HCL
39,Templar Shield Anti-Money Laundering (AML) Rule Management,Unknown,420355,Templar Shield
40,NTT ISMS Control Assessment,Unknown,420358,NTT Data
41,NTT ISMS Risk Assessment,Unknown,420362,NTT Data
42,NTT Platform Monitoring and Operations,Unknown,420364,NTT Data
43,Archer API Testing,Unknown,420366,"Archer Technologies, LLC"
44,Archer Authoritative Source Data Feed,Free,420368,"Archer Technologies, LLC"
45,Archer Data Feed Initiator,Free,420371,"Archer Technologies, LLC"
46,Archer Data Feed Monitor,Free,420373,"Archer Technologies, LLC"
47,Risk Based Security VulnDB,Free,420420,Risk Based Security
48,RiskLens Integration,Free,420422,RiskLens
49,erwin EDGE Platform,Free,420425,erwin
50,Archer Multi-Record Publisher,Free,420435,"Archer Technologies, LLC"
51,Archer Scripts Data Driven Events Analysis,Unknown,420437,Archer Scripts
52,Archer Scripts User Status Indicator and Tooltip,Unknown,420439,Archer Scripts
53,Archer User Account Management,Free,420441,"Archer Technologies, LLC"
54,Archer User Profile and Contact Synchronization,Free,420443,"Archer Technologies, LLC"
55,Bowmen Group Multicurrency,Unknown,420445,Bowmen Group
56,Archer Complaints Tracking,Unknown,420447,"Archer Technologies, LLC"
57,NIST CSF Guidelines Authoritative Source,Free,420449,"Archer Technologies, LLC"
58,NIST Privacy Framework Authoritative Source,Free,420451,"Archer Technologies, LLC"
59,NIST FIPS 140-3 Authoritative Source,Free,420455,"Archer Technologies, LLC"
60,NIST SP 800-30 Rev 1 Authoritative Source,Free,420457,"Archer Technologies, LLC"
61,NIST SP 800-37 Rev 2 Authoritative Source,Free,420459,"Archer Technologies, LLC"
62,NIST SP 800-39 Authoritative Source,Free,420461,"Archer Technologies, LLC"
63,NIST SP 800-82 Rev 2 Authoritative Source,Free,420465,"Archer Technologies, LLC"
64,NIST SP 800-171 Rev 2 Authoritative Source,Free,420467,"Archer Technologies, LLC"
65,NIST SP 800-172 Authoritative Source,Free,420469,"Archer Technologies, LLC"
